"","chr","start","end","Total.400","Total.1k","400-43252","400-AHA-1","400-CEH-32","400-CEH-38","400-CES-1","400-DAF-16","400-DPL-1","400-DUXL-1","400-DVE-1","400-F10B5.3","400-F37D6.2","400-F49E8.2","400-FKH-10","400-HLH-30","400-LIN-13","400-LIN-15B","400-LIN-39","400-LIR-3","400-LSY-2","400-MDL-1","400-MEP-1","400-NHR-102","400-NHR-11","400-NHR-237","400-NHR-25","400-NHR-28","400-NHR-48","400-NHR-6","400-NHR-76","400-NHR-77","400-PHA-4","400-RBR-2","400-SNPC-4","400-SPR-1","400-UNC-130","400-ZAG-1","400-ZFP-2","400-ZIP-2","400-ZK546.5","400-ZTF-7","400-NHR-10","400-PQM-1","400-C05D10.1","400-CEY-2","400-FOS-1","400-R02D3.7","400-UNC-62","400-F45C12.2","400-SKN-1","400-ZTF-11","400-EGL-27","400-NHR-116","400-UNC-39","400-R06F6.6","1k-43252","1k-AHA-1","1k-CEH-32","1k-CEH-38","1k-CES-1","1k-DAF-16","1k-DPL-1","1k-DUXL-1","1k-DVE-1","1k-F10B5.3","1k-F37D6.2","1k-F49E8.2","1k-FKH-10","1k-HLH-30","1k-LIN-13","1k-LIN-15B","1k-LIN-39","1k-LIR-3","1k-LSY-2","1k-MDL-1","1k-MEP-1","1k-NHR-102","1k-NHR-11","1k-NHR-237","1k-NHR-25","1k-NHR-28","1k-NHR-48","1k-NHR-6","1k-NHR-76","1k-NHR-77","1k-PHA-4","1k-RBR-2","1k-SNPC-4","1k-SPR-1","1k-UNC-130","1k-ZAG-1","1k-ZFP-2","1k-ZIP-2","1k-ZK546.5","1k-ZTF-7","1k-NHR-10","1k-PQM-1","1k-C05D10.1","1k-CEY-2","1k-FOS-1","1k-R02D3.7","1k-UNC-62","1k-F45C12.2","1k-SKN-1","1k-ZTF-11","1k-EGL-27","1k-NHR-116","1k-UNC-39","1k-R06F6.6"
"974","chrI",9381029,9382000,46,65,1,NA,1,NA,NA,4,1,NA,3,2,2,NA,NA,2,1,NA,NA,1,2,4,3,2,NA,NA,1,2,2,NA,NA,NA,NA,2,NA,2,NA,NA,1,NA,1,NA,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,5,1,1,3,2,2,NA,1,2,2,NA,NA,1,3,4,3,2,1,1,2,2,2,2,NA,2,NA,2,NA,2,NA,NA,2,NA,1,1,1,1,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA
"975","chrI",9381029,9382000,46,65,1,NA,1,NA,NA,4,1,NA,3,2,2,NA,NA,2,1,NA,NA,1,2,4,3,2,NA,NA,1,2,2,NA,NA,NA,NA,2,NA,2,NA,NA,1,NA,1,NA,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,5,1,1,3,2,2,NA,1,2,2,NA,NA,1,3,4,3,2,1,1,2,2,2,2,NA,2,NA,2,NA,2,NA,NA,2,NA,1,1,1,1,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA
"976","chrI",9381029,9382000,46,65,1,NA,1,NA,NA,4,1,NA,3,2,2,NA,NA,2,1,NA,NA,1,2,4,3,2,NA,NA,1,2,2,NA,NA,NA,NA,2,NA,2,NA,NA,1,NA,1,NA,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,5,1,1,3,2,2,NA,1,2,2,NA,NA,1,3,4,3,2,1,1,2,2,2,2,NA,2,NA,2,NA,2,NA,NA,2,NA,1,1,1,1,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA
"977","chrI",9381029,9382000,46,65,1,NA,1,NA,NA,4,1,NA,3,2,2,NA,NA,2,1,NA,NA,1,2,4,3,2,NA,NA,1,2,2,NA,NA,NA,NA,2,NA,2,NA,NA,1,NA,1,NA,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,5,1,1,3,2,2,NA,1,2,2,NA,NA,1,3,4,3,2,1,1,2,2,2,2,NA,2,NA,2,NA,2,NA,NA,2,NA,1,1,1,1,NA,1,NA,NA,4,NA,NA,NA,1,NA,NA,NA
"978","chrI",9382731,9383354,47,48,2,1,NA,1,NA,4,1,NA,1,1,2,NA,NA,2,2,NA,NA,2,4,3,1,2,2,1,1,1,2,2,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,4,1,NA,2,1,2,NA,NA,2,2,NA,NA,2,4,3,1,2,2,1,1,1,2,2,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"979","chrI",9382731,9383354,47,48,2,1,NA,1,NA,4,1,NA,1,1,2,NA,NA,2,2,NA,NA,2,4,3,1,2,2,1,1,1,2,2,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,4,1,NA,2,1,2,NA,NA,2,2,NA,NA,2,4,3,1,2,2,1,1,1,2,2,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"980","chrI",9382731,9383354,47,48,2,1,NA,1,NA,4,1,NA,1,1,2,NA,NA,2,2,NA,NA,2,4,3,1,2,2,1,1,1,2,2,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,4,1,NA,2,1,2,NA,NA,2,2,NA,NA,2,4,3,1,2,2,1,1,1,2,2,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"981","chrI",9382731,9383354,47,48,2,1,NA,1,NA,4,1,NA,1,1,2,NA,NA,2,2,NA,NA,2,4,3,1,2,2,1,1,1,2,2,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,4,1,NA,2,1,2,NA,NA,2,2,NA,NA,2,4,3,1,2,2,1,1,1,2,2,NA,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"982","chrI",9383751,9383967,24,24,NA,NA,NA,NA,NA,3,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,2,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,2,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"983","chrI",9390092,9390508,13,13,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"984","chrI",9393700,9393948,12,12,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"985","chrI",9422253,9422471,30,30,1,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"986","chrI",9445695,9446111,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"987","chrI",9512095,9512511,6,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"988","chrI",9605763,9605910,24,24,NA,NA,NA,NA,NA,3,1,1,1,NA,1,NA,NA,1,1,NA,NA,1,1,1,1,NA,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,1,NA,NA,1,1,NA,NA,1,1,1,1,NA,1,NA,NA,1,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"989","chrI",9619879,9620120,46,46,1,1,1,NA,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"990","chrI",9625914,9626219,44,44,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,NA,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,NA,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1
"991","chrI",9665078,9665322,29,29,1,1,NA,1,NA,2,1,1,NA,NA,1,NA,1,1,1,1,NA,NA,2,1,1,1,1,NA,1,1,NA,1,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,2,1,1,NA,NA,1,NA,1,1,1,1,NA,NA,2,1,1,1,1,NA,1,1,NA,1,NA,1,1,1,NA,1,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"992","chrI",9669168,9669348,38,38,1,1,1,NA,NA,3,1,1,1,1,1,1,1,1,1,1,NA,1,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,3,1,1,1,1,1,1,1,1,1,1,NA,1,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"993","chrI",9688783,9689015,31,31,NA,1,NA,NA,NA,2,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,2,2,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,2,2,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"994","chrI",9722047,9722630,35,36,1,NA,1,1,1,2,1,1,1,1,1,NA,1,1,1,NA,NA,NA,3,2,1,1,2,1,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,1,2,1,1,1,1,1,NA,1,1,1,NA,NA,NA,3,2,1,1,2,1,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA
"995","chrI",9725243,9725659,19,19,NA,NA,NA,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,2,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,2,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"996","chrI",9739493,9739710,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"997","chrI",9788536,9788855,46,46,1,1,NA,1,1,3,1,1,1,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,3,1,1,1,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"998","chrI",9842411,9842688,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"999","chrI",9852761,9852875,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1000","chrI",9853875,9854308,38,38,NA,NA,1,1,NA,3,1,1,1,NA,1,NA,1,1,NA,NA,NA,NA,3,4,1,1,1,NA,1,1,1,1,NA,1,1,2,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,3,1,1,1,NA,1,NA,1,1,NA,NA,NA,NA,3,4,1,1,1,NA,1,1,1,1,NA,1,1,2,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA
"1001","chrI",9869107,9869490,28,28,NA,NA,NA,1,NA,3,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,2,2,1,1,1,NA,1,1,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,1,1,NA,1,NA,1,1,1,NA,NA,NA,2,2,1,1,1,NA,1,1,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1002","chrI",9883616,9883732,21,21,NA,NA,NA,1,NA,3,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"1003","chrI",9934333,9934749,26,26,1,1,NA,NA,NA,2,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1004","chrI",9938401,9938618,32,32,1,NA,NA,NA,NA,3,1,1,1,1,1,NA,1,1,1,NA,NA,1,2,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,1,1,1,1,NA,1,1,1,NA,NA,1,2,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"1005","chrI",9955791,9956207,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1006","chrI",9963600,9964016,12,12,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1007","chrI",9979781,9980033,38,38,1,NA,1,NA,1,3,1,1,1,1,1,1,1,1,1,1,NA,1,2,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,3,1,1,1,1,1,1,1,1,1,1,NA,1,2,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1008","chrI",9988908,9989078,22,22,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1009","chrI",10034918,10035334,18,18,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,1,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,1,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1010","chrI",10037560,10037976,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1011","chrI",10040023,10040439,8,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1012","chrI",10121968,10122384,9,9,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1013","chrI",10161916,10162141,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1014","chrI",10173062,10173478,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1015","chrI",10174781,10175100,7,8,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
